recipe,within_us,within_eu,between,contrast
BASELINE,0.77903503543025,0.7765621978362237,0.6929963545774089,0.08480226205582797
A: matched-size N=400,0.8056168342090209,0.7972300342556156,0.730435564908946,0.0709878693233722
B: fixed σ=500m,0.8657334262626821,0.7718745912993152,0.6310357578327455,0.18776825094825322
C: k=20,0.6732437298379919,0.6461775561915428,0.5928209849143952,0.06688965810037217
D: k=15 + σ=500m,0.8652174370053276,0.6895975585506297,0.5502042257088617,0.22720327206911684
