k,BIC,AIC,log_lik
1,715.0618853471,700.9604775190747,-345.4802387595374
2,611.3641565569083,580.3410593352528,-279.1705296676264
3,546.958517982049,499.01373136676335,-232.50686568338168
4,563.5593147682667,498.69283875935093,-226.34641937967547
5,577.5185215816379,495.73035617909176,-218.86517808954588
6,572.3678647850726,473.65800998889625,-201.82900499444813
7,597.7311470728853,482.0996028830788,-200.0498014415394
8,587.4984523857488,454.94521880231207,-180.47260940115603
