label_i,label_j,delta_ipr,w1
ER p=0.02,ER p=0.04,0.00036746532797923837,0.09613038904447917
ER p=0.02,ER p=0.08,0.0004688248856255942,0.15886268351731883
ER p=0.02,ER p=0.15,0.0004390900818647212,0.20221101891005094
ER p=0.02,ER p=0.3,0.00042297629727332513,0.23887991185021556
ER p=0.02,RGG k=3,0.11645646624527517,0.19795716586716133
ER p=0.02,RGG k=5,0.04791913900219847,0.14379572905404567
ER p=0.02,RGG k=7,0.023685979200706416,0.15094639470127846
ER p=0.02,RGG k=10,0.01066751602347938,0.1706661543970095
ER p=0.02,SBM q=0.2,0.0004280085845364528,0.13773337299489732
ER p=0.02,SBM q=0.5,0.0004031984647529206,0.15446046460059945
ER p=0.02,SBM q=1.0,0.0004334457752008473,0.17650048384824626
ER p=0.02,Gauss k=5,0.06869932187716413,0.14674539873715195
ER p=0.02,Gauss k=10,0.028834694162416578,0.15924328898692042
ER p=0.02,Mix k=5,0.05416261779837154,0.126831174391408
ER p=0.02,Star,0.15612518077184503,0.30336209694104016
ER p=0.04,ER p=0.08,0.00010135955764635583,0.06274044885323375
ER p=0.04,ER p=0.15,7.162475388548285e-05,0.1060810826121748
ER p=0.04,ER p=0.3,5.551096929408677e-05,0.1427495228057364
ER p=0.04,RGG k=3,0.11682393157325441,0.2855704559836502
ER p=0.04,RGG k=5,0.04828660433017771,0.18441677525504083
ER p=0.04,RGG k=7,0.024053444528685654,0.13861998632355568
ER p=0.04,RGG k=10,0.011034981351458618,0.12889107288977547
ER p=0.04,SBM q=0.2,6.054325655721442e-05,0.04265127609541715
ER p=0.04,SBM q=0.5,3.5733136773682256e-05,0.05834966618471671
ER p=0.04,SBM q=1.0,6.598044722160891e-05,0.0803745996600811
ER p=0.04,Gauss k=5,0.06906678720514337,0.2098008864901193
ER p=0.04,Gauss k=10,0.029202159490395816,0.12101910292485228
ER p=0.04,Mix k=5,0.05453008312635078,0.19293941093229028
ER p=0.04,Star,0.15649264609982427,0.20818327801183895
ER p=0.08,ER p=0.15,2.9734803760872973e-05,0.043353452252884825
ER p=0.08,ER p=0.3,4.584858835226906e-05,0.08001884205974061
