city,atlas,block,block_size,N,z_kde,dirichlet_unnorm,r2_base_block,r2_aug_block,gain_block,eig_energy_test
d10_Paris,world_fr_v_lib_metropole,0,166,1361,-8.216757810397606,1.3804181946738776,0.1532602585087186,0.16563041510260734,0.012370156593888737,0.01033796740636591
d10_Paris,world_fr_v_lib_metropole,1,117,1361,-8.216757810397606,1.3804181946738776,-0.5652464862085942,-0.30848541175812727,0.2567610744504669,0.0032872326851267376
d10_Paris,world_fr_v_lib_metropole,2,203,1361,-8.216757810397606,1.3804181946738776,0.4818988322121539,0.4665961078794375,-0.0153027243327164,0.006603568942236479
d10_Paris,world_fr_v_lib_metropole,3,164,1361,-8.216757810397606,1.3804181946738776,-0.003545347878997518,-0.01118117713303568,-0.007635829254038162,0.012780126421822238
d10_Paris,world_fr_v_lib_metropole,4,194,1361,-8.216757810397606,1.3804181946738776,-0.12813088945946216,-0.06681455352036703,0.061316335939095135,0.004881793722694157
d10_Paris,world_fr_v_lib_metropole,5,136,1361,-8.216757810397606,1.3804181946738776,0.43001346608318647,0.47870256633597386,0.04868910025278739,0.007532603350074446
d10_Paris,world_fr_v_lib_metropole,6,160,1361,-8.216757810397606,1.3804181946738776,0.22050613445518663,0.20899702100036777,-0.011509113454818864,0.006425486989477638
d10_Paris,world_fr_v_lib_metropole,7,73,1361,-8.216757810397606,1.3804181946738776,-1.2489100960152255,-1.2323835557938012,0.016526540221424302,0.004750194291467709
d10_Paris,world_fr_v_lib_metropole,8,39,1361,-8.216757810397606,1.3804181946738776,-4.326247267888917,-4.08807186646275,0.238175401426167,0.010000628653477447
d10_Paris,world_fr_v_lib_metropole,9,109,1361,-8.216757810397606,1.3804181946738776,-0.3088772171849632,-0.213446425398778,0.09543079178618519,0.004741536847971472
d10_Paris,world_fr_v_lib_metropole,-1,109,1361,-8.216757810397606,1.3804181946738776,0.25792928603494725,0.313538933492181,0.055609647457233735,
d10_Paris,world_fr_v_lib_metropole,-2,109,1361,-8.216757810397606,1.3804181946738776,0.44850334332121367,0.4970807684953682,0.04857742517415453,
d10_Paris,world_fr_v_lib_metropole,-3,109,1361,-8.216757810397606,1.3804181946738776,0.3019164948080647,0.3424973979400736,0.040580903132008905,
d10_Paris,world_fr_v_lib_metropole,-4,109,1361,-8.216757810397606,1.3804181946738776,0.38845842033259437,0.42777813525856734,0.03931971492597297,
d10_Paris,world_fr_v_lib_metropole,-5,109,1361,-8.216757810397606,1.3804181946738776,0.28734258894392006,0.39161163691100265,0.10426904796708258,
d10_Paris,world_fr_v_lib_metropole,-6,109,1361,-8.216757810397606,1.3804181946738776,0.34617462129743626,0.4174850429050445,0.07131042160760825,
d10_Paris,world_fr_v_lib_metropole,-7,109,1361,-8.216757810397606,1.3804181946738776,0.4310761499385428,0.5095348160763234,0.07845866613778063,
d10_Paris,world_fr_v_lib_metropole,-8,109,1361,-8.216757810397606,1.3804181946738776,0.3940595202405115,0.43263249559590644,0.038572975355394945,
d10_Paris,world_fr_v_lib_metropole,-9,109,1361,-8.216757810397606,1.3804181946738776,0.34673895051081005,0.39762786880909784,0.05088891829828779,
d10_Paris,world_fr_v_lib_metropole,-10,109,1361,-8.216757810397606,1.3804181946738776,0.252969292869893,0.3292895883152972,0.0763202954454042,
d10_inurba-rouen,world_fr_lovelo_libre_service,0,57,124,-1.0091155704432255,1.542359675864639,0.21615597004195453,0.22204465211607372,0.005888682074119189,0.10612474993462566
d10_inurba-rouen,world_fr_lovelo_libre_service,1,24,124,-1.0091155704432255,1.542359675864639,-0.0693421445520992,0.032183084863544376,0.10152522941564357,0.10004252196023518
d10_inurba-rouen,world_fr_lovelo_libre_service,2,43,124,-1.0091155704432255,1.542359675864639,0.26309063521337084,0.31708219911637925,0.05399156390300841,0.1125207587902528
d10_inurba-rouen,world_fr_lovelo_libre_service,-1,43,124,-1.0091155704432255,1.542359675864639,0.34029226964533443,0.39981827896442435,0.05952600931908991,
d10_inurba-rouen,world_fr_lovelo_libre_service,-2,43,124,-1.0091155704432255,1.542359675864639,0.43452519788836197,0.4889602497655853,0.054435051877223306,
d10_inurba-rouen,world_fr_lovelo_libre_service,-3,43,124,-1.0091155704432255,1.542359675864639,0.4873766451203543,0.5125952035855553,0.025218558465201046,
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,0,41,228,-1.227833831432313,1.5953794723250134,0.28960888028855625,0.24941347133967706,-0.040195408948879185,0.03972976242735284
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,1,30,228,-1.227833831432313,1.5953794723250134,0.32592122765592635,0.18255677578625107,-0.14336445186967528,0.03324403654678297
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,2,43,228,-1.227833831432313,1.5953794723250134,-0.1645536444515341,-0.1531207344995229,0.011432909952011183,0.04473109098577968
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,3,36,228,-1.227833831432313,1.5953794723250134,-0.23296369799162364,-0.3070319522661473,-0.07406825427452368,0.030053775036748442
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,4,47,228,-1.227833831432313,1.5953794723250134,0.1360417811758733,-0.05068581567412411,-0.1867275968499974,0.06465891774963614
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,5,31,228,-1.227833831432313,1.5953794723250134,-0.8171721819916977,-0.7104332156667221,0.10673896632497559,0.03813001158570314
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,-1,31,228,-1.227833831432313,1.5953794723250134,0.6072681239116648,0.6021380935149372,-0.005130030396727658,
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,-2,31,228,-1.227833831432313,1.5953794723250134,0.4098294553045724,0.4713179398527967,0.06148848454822431,
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,-3,31,228,-1.227833831432313,1.5953794723250134,0.37951644602659584,0.35255987307208736,-0.026956572954508484,
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,-4,31,228,-1.227833831432313,1.5953794723250134,0.4089651716516909,0.46768630258118304,0.05872113092949216,
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,-5,31,228,-1.227833831432313,1.5953794723250134,0.3701329575163471,0.40372528364515203,0.03359232612880492,
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,-6,31,228,-1.227833831432313,1.5953794723250134,0.517473127830679,0.528172234780741,0.010699106950062043,
d10_lyon,world_fr_v_lo_v,0,55,462,-1.8767363164863284,1.8144369435576382,-0.5093499034827784,-0.43781071036174635,0.07153919312103207,0.011370368346345217
d10_lyon,world_fr_v_lo_v,1,44,462,-1.8767363164863284,1.8144369435576382,0.3322488056605035,0.3178951730861317,-0.014353632574371833,0.011642965901264684
d10_lyon,world_fr_v_lo_v,2,71,462,-1.8767363164863284,1.8144369435576382,-0.5195221207018976,-0.47953614080869733,0.039985979893200296,0.018864751010771896
d10_lyon,world_fr_v_lo_v,3,45,462,-1.8767363164863284,1.8144369435576382,0.1907701575435874,0.20880565532668727,0.018035497783099874,0.04032072657866978
d10_lyon,world_fr_v_lo_v,4,37,462,-1.8767363164863284,1.8144369435576382,0.4516198546883432,0.4454086952772719,-0.00621115941107131,0.014112760498486893
d10_lyon,world_fr_v_lo_v,5,54,462,-1.8767363164863284,1.8144369435576382,0.18921647734878333,0.16526746505165535,-0.02394901229712798,0.02687447930719203
d10_lyon,world_fr_v_lo_v,6,23,462,-1.8767363164863284,1.8144369435576382,-0.03442054093582936,-0.05335157613816577,-0.01893103520233641,0.013659778377327791
d10_lyon,world_fr_v_lo_v,7,43,462,-1.8767363164863284,1.8144369435576382,-0.1092628718522688,-0.10601027280224762,0.0032525990500211766,0.01028733701102129
d10_lyon,world_fr_v_lo_v,8,39,462,-1.8767363164863284,1.8144369435576382,-0.1358596643972394,-0.11603856501695087,0.01982109938028853,0.010787074237688687
d10_lyon,world_fr_v_lo_v,9,51,462,-1.8767363164863284,1.8144369435576382,0.21565116817481578,0.21483787938393284,-0.0008132887908829378,0.008387937840897
d10_lyon,world_fr_v_lo_v,-1,51,462,-1.8767363164863284,1.8144369435576382,0.44191223899628684,0.45460130742466687,0.012689068428380024,
d10_lyon,world_fr_v_lo_v,-2,51,462,-1.8767363164863284,1.8144369435576382,0.485168236553146,0.4888639395854272,0.0036957030322811724,
d10_lyon,world_fr_v_lo_v,-3,51,462,-1.8767363164863284,1.8144369435576382,0.41394370061541796,0.4264785610473376,0.012534860431919648,
d10_lyon,world_fr_v_lo_v,-4,51,462,-1.8767363164863284,1.8144369435576382,0.31851107767387143,0.33283109700054736,0.014320019326675926,
d10_lyon,world_fr_v_lo_v,-5,51,462,-1.8767363164863284,1.8144369435576382,0.6253103710790576,0.643979765575496,0.01866939449643834,
d10_lyon,world_fr_v_lo_v,-6,51,462,-1.8767363164863284,1.8144369435576382,0.26726373506376644,0.273224273371785,0.00596053830801857,
d10_lyon,world_fr_v_lo_v,-7,51,462,-1.8767363164863284,1.8144369435576382,0.3538074166015308,0.3885118263594972,0.034704409757966403,
d10_lyon,world_fr_v_lo_v,-8,51,462,-1.8767363164863284,1.8144369435576382,0.29497568366432136,0.3198062877565755,0.024830604092254127,
