city,atlas,split_id,N,z_kde,r2_spec_inductive
d10_Paris,world_fr_v_lib_metropole,0,1361,-8.216757810397606,0.3411011814748601
d10_Paris,world_fr_v_lib_metropole,1,1361,-8.216757810397606,0.40477143939644844
d10_Paris,world_fr_v_lib_metropole,2,1361,-8.216757810397606,0.3379561989169598
d10_Paris,world_fr_v_lib_metropole,3,1361,-8.216757810397606,0.37097304813896415
d10_Paris,world_fr_v_lib_metropole,4,1361,-8.216757810397606,0.39467349683226505
d10_Paris,world_fr_v_lib_metropole,5,1361,-8.216757810397606,0.3755145105472071
d10_Paris,world_fr_v_lib_metropole,6,1361,-8.216757810397606,0.3630292794401213
d10_Paris,world_fr_v_lib_metropole,7,1361,-8.216757810397606,0.33493616231928536
d10_Paris,world_fr_v_lib_metropole,8,1361,-8.216757810397606,0.311069197827174
d10_Paris,world_fr_v_lib_metropole,9,1361,-8.216757810397606,0.39107404712941984
d10_inurba-rouen,world_fr_lovelo_libre_service,0,124,-1.0091155704432255,0.5879627979828932
d10_inurba-rouen,world_fr_lovelo_libre_service,1,124,-1.0091155704432255,0.6989208059967397
d10_inurba-rouen,world_fr_lovelo_libre_service,2,124,-1.0091155704432255,0.5529264244435772
d10_inurba-rouen,world_fr_lovelo_libre_service,3,124,-1.0091155704432255,0.6159322498774782
d10_inurba-rouen,world_fr_lovelo_libre_service,4,124,-1.0091155704432255,0.6477621898328019
d10_inurba-rouen,world_fr_lovelo_libre_service,5,124,-1.0091155704432255,0.329056348828366
d10_inurba-rouen,world_fr_lovelo_libre_service,6,124,-1.0091155704432255,0.6521273736023652
d10_inurba-rouen,world_fr_lovelo_libre_service,7,124,-1.0091155704432255,0.571582768716132
d10_inurba-rouen,world_fr_lovelo_libre_service,8,124,-1.0091155704432255,0.6060918550248897
d10_inurba-rouen,world_fr_lovelo_libre_service,9,124,-1.0091155704432255,0.5678525050308881
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,0,228,-1.227833831432313,0.3867961454923611
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,1,228,-1.227833831432313,0.4071440286298069
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,2,228,-1.227833831432313,0.2727230159738874
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,3,228,-1.227833831432313,0.33711909163299514
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,4,228,-1.227833831432313,0.3306140614236678
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,5,228,-1.227833831432313,0.2887679967294917
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,6,228,-1.227833831432313,0.3134736606344164
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,7,228,-1.227833831432313,0.3185366886365666
d10_levelo_inurba_marseille,world_fr_lev_lo_marseille,8,228,-1.227833831432313,0.42067903615457014
