city,split_id,N,z_kde,dirichlet_unnorm,dirichlet_sym,r2_base,r2_aug,gain
d10_Paris,0,1361,-8.216757810397606,1.3804181946738776,0.4610441808731794,0.3373910476445374,0.39987085059611027,0.06247980295157285
d10_Paris,1,1361,-8.216757810397606,1.3804181946738776,0.4610441808731794,0.40487916721232486,0.4699865043283469,0.06510733711602201
d10_Paris,2,1361,-8.216757810397606,1.3804181946738776,0.4610441808731794,0.42092435078857393,0.47595694224019414,0.055032591451620205
d10_Paris,3,1361,-8.216757810397606,1.3804181946738776,0.4610441808731794,0.34936870152957733,0.40619807612368275,0.05682937459410542
d10_Paris,4,1361,-8.216757810397606,1.3804181946738776,0.4610441808731794,0.39737945343005265,0.46966156485478794,0.07228211142473528
d10_Paris,5,1361,-8.216757810397606,1.3804181946738776,0.4610441808731794,0.37759792218693056,0.4360958604704297,0.05849793828349914
d10_Paris,6,1361,-8.216757810397606,1.3804181946738776,0.4610441808731794,0.3502275791381909,0.4007476615727298,0.05052008243453887
d10_Paris,7,1361,-8.216757810397606,1.3804181946738776,0.4610441808731794,0.34952895350038127,0.40780647846652984,0.058277524966148575
d10_Paris,8,1361,-8.216757810397606,1.3804181946738776,0.4610441808731794,0.36996107586441984,0.4312978999477377,0.061336824083317865
d10_Paris,9,1361,-8.216757810397606,1.3804181946738776,0.4610441808731794,0.4030008183700876,0.4503568795598284,0.047356061189740783
d10_inurba-rouen,0,124,-1.0091155704432255,1.542359675864639,0.4055357384270618,0.5379869202911786,0.5368472538038896,-0.001139666487288915
d10_inurba-rouen,1,124,-1.0091155704432255,1.542359675864639,0.4055357384270618,0.3869798463513915,0.42306721164627714,0.036087365294885654
d10_inurba-rouen,2,124,-1.0091155704432255,1.542359675864639,0.4055357384270618,0.4433905906246204,0.4737640549898037,0.03037346436518329
d10_inurba-rouen,3,124,-1.0091155704432255,1.542359675864639,0.4055357384270618,0.5729109023397929,0.582423284276575,0.009512381936782055
d10_inurba-rouen,4,124,-1.0091155704432255,1.542359675864639,0.4055357384270618,0.3931238605060611,0.41490751532093895,0.021783654814877873
d10_inurba-rouen,5,124,-1.0091155704432255,1.542359675864639,0.4055357384270618,0.5498307142210328,0.5255586988837366,-0.02427201533729617
d10_inurba-rouen,6,124,-1.0091155704432255,1.542359675864639,0.4055357384270618,0.4893220384054574,0.5331107999106656,0.04378876150520816
d10_inurba-rouen,7,124,-1.0091155704432255,1.542359675864639,0.4055357384270618,0.4707853679925411,0.5045277220681588,0.03374235407561765
d10_inurba-rouen,8,124,-1.0091155704432255,1.542359675864639,0.4055357384270618,0.39285418551926166,0.4430171382565561,0.05016295273729443
d10_inurba-rouen,9,124,-1.0091155704432255,1.542359675864639,0.4055357384270618,0.5978642578102362,0.6161114987827728,0.018247240972536605
d10_levelo_inurba_marseille,0,228,-1.227833831432313,1.5953794723250134,0.4978670736762153,0.4551776851724324,0.4630574645310246,0.007879779358592187
d10_levelo_inurba_marseille,1,228,-1.227833831432313,1.5953794723250134,0.4978670736762153,0.40196498283869087,0.4022114343447595,0.0002464515060686123
d10_levelo_inurba_marseille,2,228,-1.227833831432313,1.5953794723250134,0.4978670736762153,0.3451905664741519,0.365281945746049,0.02009137927189708
d10_levelo_inurba_marseille,3,228,-1.227833831432313,1.5953794723250134,0.4978670736762153,0.4116276865425267,0.44411415224507267,0.032486465702545986
d10_levelo_inurba_marseille,4,228,-1.227833831432313,1.5953794723250134,0.4978670736762153,0.33899622091903925,0.36982715517555087,0.030830934256511622
d10_levelo_inurba_marseille,5,228,-1.227833831432313,1.5953794723250134,0.4978670736762153,0.15200657208474422,0.2254420439345084,0.07343547184976418
d10_levelo_inurba_marseille,6,228,-1.227833831432313,1.5953794723250134,0.4978670736762153,0.4952236047239449,0.5281777473586297,0.03295414263468477
d10_levelo_inurba_marseille,7,228,-1.227833831432313,1.5953794723250134,0.4978670736762153,0.5052606291045654,0.5394496472839438,0.03418901817937847
d10_levelo_inurba_marseille,8,228,-1.227833831432313,1.5953794723250134,0.4978670736762153,0.42818275851424137,0.45340914172775326,0.025226383213511894
d10_levelo_inurba_marseille,9,228,-1.227833831432313,1.5953794723250134,0.4978670736762153,0.4255084745017066,0.4805665013932575,0.055058026891550926
d10_lyon,0,462,-1.8767363164863284,1.8144369435576382,0.5412526386157693,0.27353522320784696,0.29077539998593793,0.017240176778090976
d10_lyon,1,462,-1.8767363164863284,1.8144369435576382,0.5412526386157693,0.4361890831158429,0.45073443839359084,0.014545355277747918
d10_lyon,2,462,-1.8767363164863284,1.8144369435576382,0.5412526386157693,0.35133070489911966,0.35642786555462425,0.0050971606555045845
d10_lyon,3,462,-1.8767363164863284,1.8144369435576382,0.5412526386157693,0.33484007032957597,0.34167089412149854,0.006830823791922569
d10_lyon,4,462,-1.8767363164863284,1.8144369435576382,0.5412526386157693,0.29478689112737566,0.3041953507948709,0.009408459667495261
d10_lyon,5,462,-1.8767363164863284,1.8144369435576382,0.5412526386157693,0.49460068335057206,0.5015670104626467,0.006966327112074677
d10_lyon,6,462,-1.8767363164863284,1.8144369435576382,0.5412526386157693,0.4524166815247509,0.46683932818793106,0.01442264666318016
d10_lyon,7,462,-1.8767363164863284,1.8144369435576382,0.5412526386157693,0.4623339887846456,0.48182652595076736,0.01949253716612176
d10_lyon,8,462,-1.8767363164863284,1.8144369435576382,0.5412526386157693,0.40944736286030003,0.4258557687713569,0.016408405911056856
d10_lyon,9,462,-1.8767363164863284,1.8144369435576382,0.5412526386157693,0.3671341800835707,0.3870298091742088,0.019895629090638134
d10_nantes,0,123,-3.1963068125432685,2.2957888004855955,0.578467459539596,-0.10894982255070018,-0.06201461231643668,0.0469352102342635
d10_nantes,1,123,-3.1963068125432685,2.2957888004855955,0.578467459539596,0.14663400523520542,0.26429701252506943,0.11766300728986401
d10_nantes,2,123,-3.1963068125432685,2.2957888004855955,0.578467459539596,0.3123907608274592,0.40987221984203037,0.09748145901457117
d10_nantes,3,123,-3.1963068125432685,2.2957888004855955,0.578467459539596,0.12588920781653778,0.18942655347881954,0.06353734566228175
d10_nantes,4,123,-3.1963068125432685,2.2957888004855955,0.578467459539596,0.0241723837447696,0.11836012592527101,0.09418774218050141
d10_nantes,5,123,-3.1963068125432685,2.2957888004855955,0.578467459539596,-0.017786265613979335,0.19679644070498803,0.21458270631896736
d10_nantes,6,123,-3.1963068125432685,2.2957888004855955,0.578467459539596,0.3471080061243945,0.4618384943469822,0.11473048822258769
d10_nantes,7,123,-3.1963068125432685,2.2957888004855955,0.578467459539596,0.09527303207478166,0.17228652937006184,0.07701349729528018
d10_nantes,8,123,-3.1963068125432685,2.2957888004855955,0.578467459539596,0.19023342494413142,0.28647918191687594,0.09624575697274451
d10_nantes,9,123,-3.1963068125432685,2.2957888004855955,0.578467459539596,0.2077467987696736,0.3348749986180728,0.12712819984839918
d10_toulouse,0,448,-5.7618865359164335,1.761663509611304,0.4532939000109192,0.3423119247789371,0.40860269481424494,0.06629077003530781
d10_toulouse,1,448,-5.7618865359164335,1.761663509611304,0.4532939000109192,0.4437230458550755,0.4862544680319747,0.0425314221768992
d10_toulouse,2,448,-5.7618865359164335,1.761663509611304,0.4532939000109192,0.3478254562731776,0.3995185567724443,0.051693100499266675
d10_toulouse,3,448,-5.7618865359164335,1.761663509611304,0.4532939000109192,0.3107510324436573,0.3597572953926004,0.04900626294894306
d10_toulouse,4,448,-5.7618865359164335,1.761663509611304,0.4532939000109192,0.2935625711369786,0.34509911739354115,0.051536546256562565
d10_toulouse,5,448,-5.7618865359164335,1.761663509611304,0.4532939000109192,0.3704819906798873,0.4083701025637537,0.03788811188386643
d10_toulouse,6,448,-5.7618865359164335,1.761663509611304,0.4532939000109192,0.3877866912890914,0.4399547618219095,0.052168070532818134
d10_toulouse,7,448,-5.7618865359164335,1.761663509611304,0.4532939000109192,0.24147646036950876,0.3178335994909812,0.07635713912147246
d10_toulouse,8,448,-5.7618865359164335,1.761663509611304,0.4532939000109192,0.4338310117693004,0.5004548379977313,0.06662382622843088
d10_toulouse,9,448,-5.7618865359164335,1.761663509611304,0.4532939000109192,0.33908389982566556,0.37702867412577534,0.037944774300109785
d10_twisto_velolib_caen,0,76,-1.913422593535398,2.568718964884474,0.8251003180620243,0.18367788568581844,0.043918550826070324,-0.13975933485974812
d10_twisto_velolib_caen,1,76,-1.913422593535398,2.568718964884474,0.8251003180620243,0.14253360419718353,0.12471286260120118,-0.017820741595982348
d10_twisto_velolib_caen,2,76,-1.913422593535398,2.568718964884474,0.8251003180620243,0.11655803644121321,0.13978689694583424,0.02322886050462103
d10_twisto_velolib_caen,3,76,-1.913422593535398,2.568718964884474,0.8251003180620243,0.21424027493440123,0.25700074894138714,0.042760474006985905
d10_twisto_velolib_caen,4,76,-1.913422593535398,2.568718964884474,0.8251003180620243,0.1956852610808325,0.23074281467908708,0.035057553598254576
d10_twisto_velolib_caen,5,76,-1.913422593535398,2.568718964884474,0.8251003180620243,-0.03922152776138854,0.0669777602775391,0.10619928803892764
d10_twisto_velolib_caen,6,76,-1.913422593535398,2.568718964884474,0.8251003180620243,-0.03970118012355561,-0.09561424271896635,-0.055913062595410734
d10_twisto_velolib_caen,7,76,-1.913422593535398,2.568718964884474,0.8251003180620243,0.20324409731902127,0.225722055604888,0.02247795828586674
d10_twisto_velolib_caen,8,76,-1.913422593535398,2.568718964884474,0.8251003180620243,0.05807842417358322,0.014810366368524508,-0.04326805780505871
d10_twisto_velolib_caen,9,76,-1.913422593535398,2.568718964884474,0.8251003180620243,-0.32513397584620374,-0.3255764972797517,-0.0004425214335479488
d10_velivert_saint_etienne,0,97,2.72938324376681,1.383703821173711,0.44000282576205146,0.39778002117612277,0.4556494159826444,0.057869394806521646
d10_velivert_saint_etienne,1,97,2.72938324376681,1.383703821173711,0.44000282576205146,0.6959066345779445,0.7025447124463111,0.006638077868366565
d10_velivert_saint_etienne,2,97,2.72938324376681,1.383703821173711,0.44000282576205146,0.5414329274487371,0.6063777567515287,0.06494482930279166
d10_velivert_saint_etienne,3,97,2.72938324376681,1.383703821173711,0.44000282576205146,0.5214530047451285,0.5641859139292933,0.042732909184164836
d10_velivert_saint_etienne,4,97,2.72938324376681,1.383703821173711,0.44000282576205146,0.6057132633133636,0.606132779407623,0.00041951609425938674
d10_velivert_saint_etienne,5,97,2.72938324376681,1.383703821173711,0.44000282576205146,0.5138776347207357,0.5442928484601242,0.03041521373938849
