bw_factor,n_cities_above_minus5,z_kde_beta,z_kde_p,ci_low,ci_high,z_kde_min,z_kde_max
0.5,15,-0.008114102937818625,0.1869836898201105,-0.020166159488142044,0.003937953612504794,-9.130397175753055,3.4051206529971654
0.75,16,-0.007623432459883692,0.08593727394239793,-0.016324456009568694,0.0010775910898013089,-8.143673826658452,4.0007552194367415
1.0,17,-0.004237856790586532,0.24788464078825567,-0.011426110797306486,0.0029503972161334224,-6.506085993291824,6.240726060435324
1.5,17,-0.0037722705424840354,0.23956472254244232,-0.010058869186864241,0.00251432810189617,-6.169001451815674,8.385966614726867
2.0,16,-0.006312116630850308,0.08392707323792391,-0.013470148485719188,0.000845915224018572,-6.880689346939779,6.0111391720598295
3.0,15,-0.0053623917734616795,0.17213414102427205,-0.01305996084786553,0.002335177300942172,-7.787516962513179,5.833690095250978
