name,N,sigma,mean_ipr,extended_fraction,predicted_type,dist_to_centroid,predicted_label
boston_bluebikes,497,733.1063913680991,0.05480625050469777,0.04225352112676056,1,0.5791761200561667,A: compact / hub-centric
chicago_divvy,1343,761.3304481374506,0.04262831441388964,0.01340282948622487,3,0.6949853586755185,C: mid-sized sprawl
dc_capitalbikeshare,776,775.2227855176608,0.08439414601214597,0.00902061855670103,1,0.9736589209197409,A: compact / hub-centric
london_tfl,798,441.5660587498298,0.026088461589415548,0.042606516290726815,3,0.0883737758099504,C: mid-sized sprawl
nyc_citibike,2845,326.97782186889054,0.09252479836434557,0.00492091388400703,1,1.2865796585858291,A: compact / hub-centric
sf_baywheels,560,625.3560123122356,0.055562218647475174,0.017857142857142856,1,0.6522122310046325,A: compact / hub-centric
world_ae_careem_bike,225,959.9215543384983,0.1752716728084572,0.02666666666666667,1,4.710570131325508,A: compact / hub-centric
world_ar_ecobici,392,792.0194063215461,0.02671122926406162,0.336734693877551,2,0.7508072833027467,B: distributed / poly-centric
world_ar_mibicitubici,97,1110.4572435334644,0.058092031997988715,0.6701030927835051,2,2.843104731519823,B: distributed / poly-centric
world_at_city_bike_linz,50,450.11745384740095,0.09050247622679683,0.88,1,4.556847507625557,A: compact / hub-centric
world_at_nextbike_klagenfurt_austria,50,999.7924415893553,0.1274845547164805,0.52,1,3.556004131212231,A: compact / hub-centric
world_at_stadtrad_innsbruck_austria,55,642.5740692695525,0.09536414219442554,0.6909090909090909,1,3.5844850854117505,A: compact / hub-centric
world_be_blue_bike,276,6194.52929919699,0.13807912845457762,0.010869565217391304,1,3.1462336158429816,A: compact / hub-centric
world_be_velo_antwerpen,321,547.1806991006911,0.037644614984577024,0.2398753894080997,2,0.28445734481009255,B: distributed / poly-centric
world_be_villo,346,675.3734204137991,0.027071659612844166,0.37572254335260113,2,0.9614445816503797,B: distributed / poly-centric
world_br_bike_brasilia,70,899.7639423934354,0.08918568981178723,0.6142857142857143,1,3.082863146597229,A: compact / hub-centric
world_br_bike_est_cio,51,901.0774385501395,0.12600165356591475,0.6078431372549019,1,3.8661936389940172,A: compact / hub-centric
world_br_bike_ita_pernambuco,90,765.6419778460167,0.13210134749416894,0.35555555555555557,1,3.186186608962254,A: compact / hub-centric
world_br_bike_ita_rio,406,477.5723530200005,0.06961706816424282,0.024630541871921183,1,0.48852222086045477,A: compact / hub-centric
world_br_bike_ita_salvador,74,1088.5233825116263,0.10972468457611297,0.3918918918918919,1,2.5028339640875354,A: compact / hub-centric
