control,rho,p
A: matched-size N=400,0.4545688545688546,0.005349557518376909
B: fixed σ=500m,0.5117117117117117,0.0014229663873831667
C: k=20,0.8350064350064351,2.426600311895535e-10
D: k=15 + σ=500m,0.44839124839124844,0.0060935151743282965
