city,split_id,N,z_kde,dirichlet_y,r2_base,r2_aug,gain
d10_Paris,0,1361,-8.216757810397606,0.46104418087317717,0.3689140078709716,0.44155983455963155,0.07264582668865993
d10_Paris,1,1361,-8.216757810397606,0.46104418087317717,0.2999881207164863,0.352668028973544,0.052679908257057706
d10_Paris,2,1361,-8.216757810397606,0.46104418087317717,0.3367773781136977,0.3854776236008258,0.048700245487128146
d10_Paris,3,1361,-8.216757810397606,0.46104418087317717,0.3035411353447248,0.35683189723052655,0.05329076188580173
d10_Paris,4,1361,-8.216757810397606,0.46104418087317717,0.44084543728340975,0.49435839403126314,0.05351295674785339
d10_Paris,5,1361,-8.216757810397606,0.46104418087317717,0.35813033262473226,0.4184140434071396,0.06028371078240735
d10_Paris,6,1361,-8.216757810397606,0.46104418087317717,0.3605931680280573,0.4123839052778362,0.051790737249778895
d10_Paris,7,1361,-8.216757810397606,0.46104418087317717,0.4021019013103887,0.44628023878844225,0.04417833747805355
d10_Paris,8,1361,-8.216757810397606,0.46104418087317717,0.3496867794899572,0.4105222650370536,0.06083548554709639
d10_Paris,9,1361,-8.216757810397606,0.46104418087317717,0.3690060452281777,0.4289778058341447,0.059971760605966984
d10_inurba-rouen,0,124,-1.0091155704432255,0.4055357384270259,0.5256390111015549,0.5899243731822614,0.06428536208070657
d10_inurba-rouen,1,124,-1.0091155704432255,0.4055357384270259,0.3399212203378572,0.36521973772889826,0.025298517391041053
d10_inurba-rouen,2,124,-1.0091155704432255,0.4055357384270259,0.42550305695426804,0.4557345823880452,0.030231525433777162
d10_inurba-rouen,3,124,-1.0091155704432255,0.4055357384270259,0.4479010130145977,0.4710826567300138,0.02318164371541609
d10_inurba-rouen,4,124,-1.0091155704432255,0.4055357384270259,0.3582185036653106,0.40429659198972834,0.04607808832441773
d10_inurba-rouen,5,124,-1.0091155704432255,0.4055357384270259,0.2085291586174841,0.2703470642972755,0.061817905679791396
d10_inurba-rouen,6,124,-1.0091155704432255,0.4055357384270259,0.4180999600324494,0.43800621852815647,0.01990625849570704
d10_inurba-rouen,7,124,-1.0091155704432255,0.4055357384270259,0.43785417188376763,0.46398116378691134,0.026126991903143715
d10_inurba-rouen,8,124,-1.0091155704432255,0.4055357384270259,0.6183872206569947,0.6507856073487616,0.03239838669176687
d10_inurba-rouen,9,124,-1.0091155704432255,0.4055357384270259,0.5169957773139546,0.5417156269310084,0.024719849617053757
d10_levelo_inurba_marseille,0,228,-1.227833831432313,0.49786707367620653,0.4154034753607372,0.4448408681564854,0.029437392795748196
d10_levelo_inurba_marseille,1,228,-1.227833831432313,0.49786707367620653,0.3160348755991912,0.32133979322781303,0.005304917628621841
d10_levelo_inurba_marseille,2,228,-1.227833831432313,0.49786707367620653,0.4169020603051732,0.444374958583465,0.027472898278291802
d10_levelo_inurba_marseille,3,228,-1.227833831432313,0.49786707367620653,0.432437192207485,0.4113341676786423,-0.021103024528842718
d10_levelo_inurba_marseille,4,228,-1.227833831432313,0.49786707367620653,0.3456890876595391,0.3816299490234484,0.03594086136390928
d10_levelo_inurba_marseille,5,228,-1.227833831432313,0.49786707367620653,0.3596115228891439,0.40029859572597115,0.040687072836827265
d10_levelo_inurba_marseille,6,228,-1.227833831432313,0.49786707367620653,0.4463132703439219,0.4731937152163791,0.02688044487245722
d10_levelo_inurba_marseille,7,228,-1.227833831432313,0.49786707367620653,0.34002070078598723,0.3621511674975144,0.022130466711527186
d10_levelo_inurba_marseille,8,228,-1.227833831432313,0.49786707367620653,0.48392057433349844,0.5232479430907024,0.039327368757203995
d10_levelo_inurba_marseille,9,228,-1.227833831432313,0.49786707367620653,0.37638169107090147,0.4031716240321993,0.026789932961297835
