city_a,city_b,median,lower,upper,ci_width
Beryl Manchester,Villo Bruxelles,0.7751098176052262,0.6548049499193489,0.8657008918195561,0.21089594190020722
BiciMAD Madrid,Valenbisi València,0.7746462822618323,0.5734130017730014,0.8868590343551958,0.3134460325821944
BiciMAD Madrid,Ecobici Buenos Aires,0.7746418540677946,0.6042775689025455,0.9162194283017793,0.3119418593992338
Bluebikes Boston,Beryl Bournemouth,0.7746147607087233,0.6212181567489453,0.879021614516134,0.2578034577671887
Divvy Chicago,Santander London,0.773645638127672,0.6166013993491374,0.8931230167860486,0.27652161743691117
Bluebikes Boston,Ecobici Buenos Aires,0.7735251252068605,0.6243523215266865,0.8655599920573382,0.24120767053065173
Le VélO Bordeaux,Mevo Gdańsk,0.7731770612262695,0.636674445725827,0.8594341129266789,0.22275966720085194
Santander London,Velo Antwerpen,0.7731744242742319,0.64467667327977,0.8437338628101226,0.19905718953035267
Divvy Chicago,Bicing Barcelona,0.7728587278575922,0.6240574415822174,0.8708532138215005,0.24679577223928306
Velo Antwerpen,Ecobici Buenos Aires,0.7711088822111802,0.5975023094260902,0.8853463067222892,0.28784399729619903
VéLÔ Toulouse,Bicing Barcelona,0.770623809054393,0.6045801806493559,0.9168261799638542,0.31224599931449826
BIXI Montréal,Le Vélo Marseille,0.7706033102009524,0.6158322724976846,0.8279453691065499,0.21211309660886535
Nextbike Berlin,Valenbisi València,0.7703274640966915,0.5352347757558648,0.824612831942966,0.2893780561871012
Citi Bike NYC,Swabi Augsburg,0.7701250488318172,0.6415900074831326,0.8537300735396492,0.2121400660565167
BikeMi Milan,Velo Antwerpen,0.7699472105343637,0.5900352385577107,0.9283624623499509,0.33832722379224023
Velo Antwerpen,Ecobici Ciudad de Mexico,0.769351495954836,0.6370029327296298,0.8446631298201538,0.20766019709052397
Valenbisi València,Ecobici Buenos Aires,0.7683249549973286,0.620489314138461,0.9121227073821502,0.2916333932436892
Bike Share Toronto,Le Vélo Marseille,0.7677268566410314,0.6186119385609083,0.8391416178009583,0.22052967924004996
BIXI Montréal,Mevo Gdańsk,0.765846365922568,0.7237219896889513,0.8035595152938763,0.07983752560492496
Le Vélo Marseille,Velospot CH,0.7657052799328514,0.6088036707414441,0.8251038441003282,0.21630017335888407
Bluebikes Boston,Biketown Portland,0.7655118758167098,0.6385637482846309,0.8832722969251865,0.24470854864055558
Beryl Bournemouth,Nextbike Praha,0.7652976469588348,0.5920821352563531,0.8383732332944499,0.2462910980380968
Biketown Portland,Le VélO Bordeaux,0.7644930546697841,0.6391955456572199,0.9102715474867524,0.2710760018295325
Bay Wheels SF,Villo Bruxelles,0.764383815909129,0.6038926032456116,0.8478454967042296,0.24395289345861804
BiciMAD Madrid,BikeMi Milan,0.7642988201935433,0.6053281759125573,0.911805878627964,0.30647770271540675
BIXI Montréal,Bike Itaú Rio,0.764112135593177,0.6465870931950587,0.8154705639884056,0.16888347079334687
Le VélO Bordeaux,Nextbike Praha,0.7637397299834617,0.6347555960877229,0.8390273872963506,0.2042717912086277
Citi Bike NYC,BikeMi Milan,0.7620183758129138,0.6236233138634572,0.8489540439031842,0.22533073003972703
Swabi Augsburg,Villo Bruxelles,0.7610897566228487,0.6321533766544231,0.8614073256419502,0.22925394898752716
Biketown Portland,Beryl Bournemouth,0.7607882663526276,0.6390694328551535,0.9290022187440761,0.2899327858889226
VéLÔ Toulouse,Nextbike Berlin,0.760634795091647,0.6218664601510182,0.8729582396591293,0.2510917795081111
Bike Share Toronto,Valenbisi València,0.7589161223928169,0.5422823439187382,0.8372413618338302,0.29495901791509205
Bluebikes Boston,Valenbisi València,0.7585519354224739,0.6290802066356583,0.8996410405448952,0.2705608339092369
Divvy Chicago,Ecobici Buenos Aires,0.7581086343279468,0.5980172212950677,0.8469439360542669,0.24892671475919914
